A-B,1
A-D,3
A-D-A,1
A-I-L,1
A-L,2
A-M,1
A-N,2
A-R,1
A-S,7
B-A,2
B-E-R,1
B-Y,1
C-A,1
C-D,2
C-E,2
C-H,1
C-K,1
C-O,6
C-O-M,5
C-O-N,1
C-O-N-S-T,1
C-O-U-N-T,2
D-A,1
D-F,1
D-O,1
D-U,1
D-Y,1
E-A,1
E-B,1
E-L,4
E-N,1
E-O,1
E-Q,1
E-R,55
E-R-O,2
E-T,7
E-W,3
E-Y,1
F-E,1
F-I,1
F-I-L,1
F-O,2
G-E,3
G-I-N,3
G-I-N-E,1
G-N,1
H-E,3
H-E-R,2
H-E-R-O,1
H-I,1
H-O,2
I-C,1
I-E,1
I-L,8
I-L-E,2
I-L-T,1
I-M,5
I-M-E,5
I-N,21
I-N-D,1
I-N-E,2
I-N-G,1
I-N-S,2
I-N-T,1
I-O-N,5
I-P,1
I-S,1
I-T,6
I-V,1
I-V-E,1
J-A,6
J-E,2
K-E,7
K-L-S-D,1
L-A,1
L-E,5
L-I-M,1
L-S-D,1
L-T,2
M-A,6
M-A-S,2
M-E,11
M-P,1
N-D,3
N-E,2
N-E-W,1
N-G,2
N-O,3
N-O-D,1
N-O-R,2
N-S,6
N-S-E,1
N-S-T,2
N-T,6
O-C,2
O-D,2
O-I-N,3
O-I-N-T,1
O-M,20
O-M-E,2
O-N,13
O-N-S,2
O-N-S-T,2
O-R,4
O-S,3
O-T,2
O-U,13
O-U-N,1
O-U-N-T,3
O-W,3
P-A,2
P-E-R,1
R-O,8
R-O-M,9
R-O-U,2
S-A,2
S-C,1
S-D,1
S-D-F,1
S-E,3
S-H,1
S-I-N-E,1
S-O,2
S-P,1
S-T,3
S-U,1
T-A,1
T-E,8
T-H,3
T-I-M,2
T-I-M-E,4
T-I-O-N,4
T-O,8
T-R,1
T-U-N,1
U-E,2
U-L-T,1
U-N,3
U-N-D,1
U-N-T,3
U-S,1
U-S-E,1
V-A,1
V-E,2
V-I-M,1
W-O,1
W-O-U,1
W-Q,1
